mobile_subscriber_id,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30
2908128,0.5702,7.6158,1.7285,1.0225,0.8376,0.7127
2912373,1.8566,5.3123,1.9838,0.6301,4.5023,4.0292
2925440,6.0284,3.8194,5.5052,3.8833,1.7660,1.1179
2934096,NULL,NULL,NULL,NULL,0.0004,0.0006
2940760,NULL,NULL,NULL,NULL,NULL,NULL
224407,1.2588,0.7019,0.6943,0.4122,0.4710,4.3620
249760,0.2868,0.1747,0.5085,0.2297,0.1794,0.6535
267072,1.9864,1.6175,3.7108,1.9019,2.7958,3.7087
273066,0.0035,0.0897,0.0901,0.1062,0.1189,0.1166
2912848,0.1235,NULL,NULL,NULL,0.1998,0.1433
2918301,0.1435,0.0754,NULL,0.0944,NULL,NULL
2926957,0.0637,0.3887,1.8220,1.4372,1.3876,1.4633
2927996,NULL,NULL,3.1060,6.8013,6.3145,2.6670
2933621,NULL,NULL,NULL,NULL,NULL,0.0007
224450,NULL,NULL,NULL,NULL,NULL,NULL
254480,0.8395,1.3989,1.6224,1.6094,2.2896,2.0878
262226,0.4670,1.0378,NULL,NULL,NULL,NULL
269628,1.0171,1.0900,0.9628,0.7284,0.1115,0.1993
288194,19.4703,21.5820,17.8360,13.5144,14.6070,17.4385
2898264,0.2394,0.0902,0.6707,0.9974,1.9765,0.5266
2916658,3.9748,4.7480,5.1525,5.2758,6.2879,5.0839
2899346,NULL,NULL,NULL,NULL,NULL,NULL
284948,NULL,NULL,NULL,NULL,NULL,NULL
2939380,NULL,NULL,NULL,NULL,NULL,NULL
2939549,NULL,NULL,NULL,NULL,NULL,NULL
2916827,0.6355,0.3689,0.1027,1.3924,1.2799,0.5008
2922237,0.0000,0.0296,0.0212,0.0345,0.0392,0.0427
2925314,0.4721,0.6365,0.7590,0.7925,0.9233,0.5925
2925483,0.0092,0.0081,0.0131,0.0225,0.0189,0.0351
228512,NULL,NULL,0.8665,0.6055,0.9770,0.0545
2922068,NULL,NULL,NULL,NULL,NULL,2.4947
224576,0.3632,0.1477,0.0612,0.0381,0.0638,0.1056
233232,0.9226,0.9631,2.4510,1.3200,3.9629,4.5400
239896,0.0011,0.0010,0.0012,0.0008,0.0008,0.0008
240978,2.8161,1.7658,2.5204,2.9589,9.0239,6.1708
263700,4.5000,1.6183,3.2945,2.7391,3.1009,2.3410
266946,0.1396,0.1602,0.2021,0.1674,0.1778,0.2137
286422,14.3918,7.5755,14.5297,10.8638,24.7695,14.7869
2900820,15.1569,9.6812,10.3017,13.0893,16.6391,11.8726
2904066,0.0096,0.0129,0.0764,0.2603,0.5045,2.8127
2918132,2.8157,4.2745,2.7277,6.6834,9.7060,7.2209
2938075,NULL,NULL,NULL,NULL,NULL,NULL
251363,1.9334,2.0399,1.7867,2.3688,2.4289,1.3351
269173,1.3992,1.6342,8.2121,3.2989,5.4374,2.4018
275920,0.0041,0.0002,NULL,NULL,NULL,NULL
2901965,1.9088,4.4227,3.3924,5.4037,6.1214,3.5297
2902463,49.2153,99.2295,76.8708,41.9748,95.9270,92.6593
2906791,0.0389,0.0002,NULL,NULL,0.0770,0.3985
2898135,NULL,NULL,0.0008,0.0962,0.0033,0.0065
2906293,NULL,NULL,NULL,NULL,0.0010,0.0032
2937514,NULL,NULL,NULL,NULL,NULL,NULL
225489,5.4626,4.3692,7.1742,8.3772,7.0303,14.1362
264453,2.2553,4.0318,3.0106,0.5430,0.2355,1.3835
268781,9.1893,8.5389,9.4186,9.1285,9.4298,8.3699
271984,0.0012,0.0013,0.0292,0.0407,0.0201,0.0384
276312,0.0762,0.3264,0.3840,0.3152,0.4551,0.4389
283474,6.7307,17.6502,10.0512,12.6336,10.3303,8.0970
2937906,NULL,NULL,NULL,NULL,NULL,NULL
2942234,NULL,NULL,NULL,NULL,NULL,NULL
2927541,NULL,0.0006,0.0006,0.0006,0.0001,0.0001
2928039,NULL,0.4436,0.7297,0.5305,0.9389,1.0595
272611,NULL,NULL,0.2799,1.1501,1.3499,1.0007
254672,NULL,NULL,NULL,0.2468,0.1113,0.2169
2934076,NULL,NULL,NULL,NULL,0.0219,0.0404
2916266,NULL,NULL,NULL,NULL,NULL,NULL
286093,0.0006,0.0000,0.0008,0.0017,0.0012,0.0006
2905901,1.6869,3.1778,2.9514,2.3935,3.2261,3.8185
2919383,5.7015,1.2835,1.1014,1.0637,4.8659,43.0304
2920594,0.0004,0.0008,0.0002,0.0002,0.0050,0.0933
2923711,0.0001,NULL,0.0000,NULL,0.0005,0.0346
2901573,NULL,0.0085,NULL,0.0025,1.8153,1.8803
208867,0.1334,0.1569,0.2481,0.3270,0.2902,0.5045
228014,1.7196,4.3801,3.4524,2.7590,4.6750,7.8281
251065,0.0000,0.1051,0.0138,0.0426,0.0304,0.0727
255064,0.0024,NULL,0.0000,NULL,NULL,1.8500
2912828,0.0011,0.0007,0.0028,0.0014,0.0033,0.0030
2916074,0.0158,NULL,0.1486,0.1319,0.3584,0.4741
2941215,NULL,NULL,NULL,NULL,NULL,NULL
2920402,0.3658,0.7475,0.5958,0.3973,0.3442,0.6499
2921484,0.0778,0.0638,0.1120,0.0747,0.0896,0.2361
2927149,0.0002,0.0019,0.0028,0.0005,0.0002,0.0004
2922821,NULL,NULL,0.0000,NULL,NULL,NULL
2917156,NULL,NULL,NULL,NULL,NULL,NULL
232342,NULL,NULL,NULL,NULL,NULL,NULL
225787,0.1333,0.3269,0.4458,0.3423,0.7952,0.8475
272313,0.9028,0.8052,0.9103,0.6950,0.7808,0.8263
276641,0.1563,0.1394,0.1489,0.1743,0.1495,0.1404
2899154,6.7895,4.0328,1.5642,0.3992,6.7890,9.1282
265927,2.1524,5.1348,3.5231,2.6660,2.2310,3.0547
269757,0.0422,0.0381,0.0110,NULL,NULL,NULL
270255,0.7109,0.6179,0.6954,0.6774,0.6986,0.6759
274085,4.2199,2.2175,13.8897,18.4639,22.7424,35.8619
289233,0.8113,0.6925,1.2242,0.5787,0.7221,0.9792
2903047,0.1308,NULL,NULL,NULL,NULL,NULL
2907375,21.2707,0.0025,28.0868,31.9595,24.3079,17.9525
2924687,0.0444,0.0106,NULL,NULL,NULL,NULL
2936930,NULL,NULL,NULL,NULL,NULL,NULL
2941258,NULL,NULL,NULL,NULL,NULL,NULL
205429,0.0555,0.0345,0.1382,0.0044,0.0863,0.9146
210796,0.1924,0.0726,0.5885,0.0706,0.2503,1.5385
263371,0.1237,0.2356,0.1661,0.1460,0.2360,0.4132
286677,13.6187,1.6256,1.2425,0.7495,0.1087,0.2036
2911354,0.0192,0.0488,0.0603,0.1159,0.1773,0.2666
2915682,0.9917,1.1412,2.0949,2.6420,3.7295,8.5291
2900491,NULL,1.4856,13.3982,6.2757,0.0043,0.2477
2920010,NULL,0.0005,0.5268,0.4000,0.4922,0.7386
2928623,NULL,NULL,NULL,0.0001,0.0004,0.0009
2919967,NULL,NULL,NULL,NULL,NULL,NULL
2937322,NULL,NULL,NULL,NULL,NULL,NULL
2941650,NULL,NULL,NULL,NULL,NULL,NULL
219103,0.0000,NULL,0.0000,NULL,0.0001,0.0005
227759,0.1035,0.0988,0.1807,0.4715,0.1236,0.2807
245071,32.8766,5.6454,7.5317,14.4267,23.6218,19.1818
217629,0.0546,0.0460,0.0376,0.0407,0.0355,0.0420
225203,2.7371,1.3641,2.3145,1.4532,2.6693,2.9254
243597,0.0557,0.0981,0.0182,0.0014,0.0276,0.1037
244679,11.3013,28.0642,20.8024,28.0318,28.5403,39.7531
226285,NULL,NULL,NULL,NULL,NULL,0.0165
221974,0.0225,0.0476,0.0777,0.0569,0.0889,0.0363
229800,0.0127,2.4469,15.5489,3.8267,14.5337,0.0536
254606,0.0669,0.0120,NULL,NULL,NULL,NULL
267341,0.0010,0.0001,0.0005,NULL,0.0006,0.0451
275167,0.0091,0.0083,0.0090,0.0087,0.0088,0.0087
284321,1.4566,5.4883,10.3721,12.1501,6.5385,10.9633
2898888,3.3842,14.9622,11.4401,0.1180,NULL,NULL
2906714,0.3087,0.3136,0.3714,0.3836,0.7500,0.4824
2908706,4.6296,6.1572,5.8797,12.8116,17.2223,9.5023
213507,5.1340,4.1904,5.3428,1.8801,2.4285,2.2469
